,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
4252,COSMOS,DC21fzvp,655399,149.02891611015,3.16174064959,59322.06726977,r,21.679,0.039,1.0,535,1.023,1.21,2021-04-18 01:36:52.108128,163.5872368010165
4253,COSMOS,DC21fzvp,10062208,149.02888366827,3.16180152555,59322.06859985,i,21.61,0.046,1.0,2026,0.945,1.21,2021-04-18 01:38:47.027040,162.90391854779352
4254,COSMOS,DC21fzvp,679687,149.02879563078,3.16214936521,59322.07884438,g,22.36,0.059,1.0,543,0.953,1.23,2021-04-18 01:53:32.154432,157.84603990041353
4255,COSMOS,DC21fzvp,681328,149.02878657092,3.16219913791,59322.07987078,r,21.853,0.04,1.0,544,0.884,1.23,2021-04-18 01:55:00.835392,157.36052281086043
4256,COSMOS,DC21gfpw,687004,149.02844415408,3.1633889645,59322.11203207,g,22.415,0.059,0.901,553,0.944,1.33,2021-04-18 02:41:19.570848,144.26636556229934
4257,COSMOS,DC21gfpw,688528,149.02841541427,3.1634300798,59322.11304963,r,21.777,0.031,1.0,554,0.796,1.33,2021-04-18 02:42:47.488032,143.9186204279574
4258,COSMOS,DC21gfpw,10065215,149.0283927402,3.16349311682,59322.11439555,i,21.592,0.035,1.0,2032,0.743,1.34,2021-04-18 02:44:43.775520,143.4646624497848
4259,COSMOS,DC21gfpw,698710,149.02833803963,3.16385386881,59322.12466261,g,22.411,0.062,0.707,562,0.999,1.39,2021-04-18 02:59:30.849504,140.21934593372995
4260,COSMOS,DC21gfpw,701049,149.02827942843,3.16390707401,59322.12567475,r,21.792,0.033,1.0,563,0.847,1.39,2021-04-18 03:00:58.298400,139.91954394106313
4261,COSMOS,DC21jnzw,1185905,148.99340469956,3.24169713556,59352.00407323,g,19.12,0.008,0.994,1011,1.424,1.24,2021-05-18 00:05:51.927072,154.55342778718486
4262,COSMOS,DC21jnzw,1186992,148.99361993128,3.24165095575,59352.00532021,g,19.099,0.007,0.999,1012,1.3,1.25,2021-05-18 00:07:39.666144,154.0002758565351
4263,COSMOS,DC21jrqv,11990509,149.065922314,3.22110542857,59355.97927363,g,19.805,0.024,0.891,7628,1.583,1.22,2021-05-21 23:30:09.241632,161.20795381620886
4264,COSMOS,DC21jrqv,1207884,149.06623054509,3.22104625326,59355.98053882,g,19.863,0.022,1.0,1032,1.436,1.22,2021-05-21 23:31:58.554048,160.57926418588156
